Player,Player_ID,Player_NFL_Link,Player_NCAA_Link
Ray Antil,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/ray-antil-1.html
Middleton Fitzsimons,,http://www.pro-football-reference.com,
Gil Kuhn,,http://www.pro-football-reference.com,
Chuck Gelatka,,http://www.pro-football-reference.com,
Stan Nevers,,http://www.pro-football-reference.com,
Mac Cara,,http://www.pro-football-reference.com,
Kay Bell,,http://www.pro-football-reference.com,
Ed (Red) Wade,,http://www.pro-football-reference.com,
Dave Gavin,,http://www.pro-football-reference.com,
Solon Holt,,http://www.pro-football-reference.com,
Corby Davis,,http://www.pro-football-reference.com,
Jim McDonald,,http://www.pro-football-reference.com,
Boyd Brumbaugh,,http://www.pro-football-reference.com,
Whizzer White,,http://www.pro-football-reference.com,
Jack Robbins,,http://www.pro-football-reference.com,
Alex Wojciechowicz,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/alex-wojciechowicz-1.html
Cecil Isbell,,http://www.pro-football-reference.com,
George Karamatic,,http://www.pro-football-reference.com,
Andy Farkas,,http://www.pro-football-reference.com,
Joe Gray,,http://www.pro-football-reference.com,
Jim Benton,,http://www.pro-football-reference.com,
Dick Riffle,,http://www.pro-football-reference.com,
Joe Kilgrow,,http://www.pro-football-reference.com,
Frank Filchock,,http://www.pro-football-reference.com,
Milt Popovich,,http://www.pro-football-reference.com,
Joe Routt,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/joe-routt-1.html
Joe Bukant,,http://www.pro-football-reference.com,
Bruiser Kinard,,http://www.pro-football-reference.com,
Red Wolfe,,http://www.pro-football-reference.com,
Frank Patrick,,http://www.pro-football-reference.com,
Pete Smith,,http://www.pro-football-reference.com,
Marty Schreyer,,http://www.pro-football-reference.com,
Fred Vanzo,,http://www.pro-football-reference.com,
Sam Chapman,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/sam-chapman-1.html
Gary Famiglietti,,http://www.pro-football-reference.com,
Vic Markov,,http://www.pro-football-reference.com,
John Meek,,http://www.pro-football-reference.com,
Gene Moore,,http://www.pro-football-reference.com,
Tony Matisi,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/tony-matisi-1.html
Bob Herwig,,http://www.pro-football-reference.com,
Ed Franco,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/ed-franco-1.html
Fred Shirey,,http://www.pro-football-reference.com,
Ed Merlin,,http://www.pro-football-reference.com,
Lou Midler,,http://www.pro-football-reference.com,
Al Babartsky,,http://www.pro-football-reference.com,
Andy Bershak,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/andy-bershak-1.html
Chuck Sweeney,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/chuck-sweeney-1.html
Marion (Dutch) Konemann,,http://www.pro-football-reference.com,
Dave Price,,http://www.pro-football-reference.com,
Gust Zarnas,,http://www.pro-football-reference.com,
Ray Hamilton,,http://www.pro-football-reference.com,
Red Ramsey,,http://www.pro-football-reference.com,
Perry Schwartz,,http://www.pro-football-reference.com,
George Platukis,,http://www.pro-football-reference.com,
Joe Brunansky,,http://www.pro-football-reference.com,
Karl Schleckman,,http://www.pro-football-reference.com,
Andy Uram,,http://www.pro-football-reference.com,
Frank Souchak,,http://www.pro-football-reference.com,
Elmer Dohrmann,,http://www.pro-football-reference.com,
Bob Masterson,,http://www.pro-football-reference.com,
Red Chesbro,,http://www.pro-football-reference.com,
Bob Lannon,,http://www.pro-football-reference.com,
Leroy Monsky,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/leroy-monsky-1.html
Ray King,,http://www.pro-football-reference.com,
Ed Cherry,,http://www.pro-football-reference.com,
Paul Szakash,,http://www.pro-football-reference.com,
Johnny Kovatch,,http://www.pro-football-reference.com,
Kelly Moan,,http://www.pro-football-reference.com,
Roy Young,,http://www.pro-football-reference.com,
Frank Ramsey,,http://www.pro-football-reference.com,
Walt (Tiger) Mayberry,,http://www.pro-football-reference.com,
Clem Woltman,,http://www.pro-football-reference.com,
Len Noyes,,http://www.pro-football-reference.com,
Tom Burnette,,http://www.pro-football-reference.com,
Leon Lavington,,http://www.pro-football-reference.com,
Dick Nardi,,http://www.pro-football-reference.com,
Phil Ragazzo,,http://www.pro-football-reference.com,
Ted Doyle,,http://www.pro-football-reference.com,
Bill Hartman,,http://www.pro-football-reference.com,
Fletcher Sims,,http://www.pro-football-reference.com,
Charles Ream,,http://www.pro-football-reference.com,
Elmer Kolberg,,http://www.pro-football-reference.com,
John Stringham,,http://www.pro-football-reference.com,
Paul McDonough,,http://www.pro-football-reference.com,
Phil Dougherty,,http://www.pro-football-reference.com,
Jim Sirtosky,,http://www.pro-football-reference.com,
John Howell,,http://www.pro-football-reference.com,
John Mellus,,http://www.pro-football-reference.com,
Mickey Parks,,http://www.pro-football-reference.com,
Alex Schwarz,,http://www.pro-football-reference.com,
Joe Maras,,http://www.pro-football-reference.com,
Emmett Kriel,,http://www.pro-football-reference.com,
Jim Sivell,,http://www.pro-football-reference.com,
Pat McCarty,,http://www.pro-football-reference.com,
Dwight Sloan,,http://www.pro-football-reference.com,
Ralph Wolf,,http://www.pro-football-reference.com,
Frank Barnhart,,http://www.pro-football-reference.com,
Bob Grimstead,,http://www.pro-football-reference.com,
Jack Abbitt,,http://www.pro-football-reference.com,
John Weger,,http://www.pro-football-reference.com,
Al Hoptowit,,http://www.pro-football-reference.com,
Carl Hinkle,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/carl-hinkle-1.html
Johnny Druze,,http://www.pro-football-reference.com,
Bill Krause,,http://www.pro-football-reference.com,
Bob Kenderdine,,http://www.pro-football-reference.com,
Clarence Douglass,,http://www.pro-football-reference.com,
Pete Tinsley,,http://www.pro-football-reference.com,
Doug Oldershaw,,http://www.pro-football-reference.com,
Dick Johnston,,http://www.pro-football-reference.com,
Ray Mickovsky,,http://www.pro-football-reference.com,
Vic Spadaccini,,http://www.pro-football-reference.com,
